,Dataset,LR+LR,LR+MLP,LR+MLP2,LR+RF,MLP+LR,MLP+MLP,MLP+MLP2,MLP+RF,MLP2+LR,MLP2+MLP,MLP2+MLP2,MLP2+RF,RF+LR,RF+MLP,RF+MLP2,RF+RF
0,concrete,154.85 (17.32),157.46 (19.26),147.01 (16.00),124.53 (21.70),118.33 (18.56),118.80 (21.06),115.78 (18.54),100.08 (18.16),92.45 (18.20),92.26 (19.11),89.19 (15.82),81.45 (17.48),70.15 (23.32),69.24 (24.39),69.24 (22.41),65.29 (23.67)
4,wine,0.63 (0.12),0.65 (0.11),0.69 (0.10),0.60 (0.10),0.44 (0.15),0.43 (0.14),0.46 (0.11),0.43 (0.13),0.53 (0.14),0.55 (0.12),0.59 (0.11),0.52 (0.12),0.65 (0.26),0.66 (0.23),0.72 (0.20),0.64 (0.26)
8,airfoil,36.52 (7.02),34.90 (6.73),31.25 (5.57),23.81 (4.66),25.12 (6.65),24.00 (6.47),22.30 (5.86),16.64 (4.62),13.39 (5.55),12.93 (5.51),12.30 (5.52),10.86 (4.83),9.25 (2.81),9.19 (2.73),9.07 (2.14),8.82 (2.73)
12,energy,12.05 (1.96),11.36 (1.81),7.81 (2.46),5.69 (2.41),10.76 (1.94),10.01 (1.82),6.24 (1.37),4.64 (1.19),3.38 (0.90),3.18 (0.81),2.69 (0.70),2.06 (0.63),0.66 (0.47),0.65 (0.44),0.75 (0.39),0.67 (0.41)
16,housing,57.99 (34.31),52.63 (37.30),50.02 (26.88),63.38 (35.49),49.65 (35.56),44.41 (39.20),46.96 (28.21),62.03 (35.87),35.88 (30.93),33.24 (31.92),37.48 (27.85),37.37 (31.61),43.13 (38.79),40.48 (40.24),42.95 (34.71),45.45 (38.18)
20,solar,2.28 (1.45),2.47 (1.41),2.84 (1.42),2.68 (1.35),2.33 (1.53),2.52 (1.49),2.88 (1.47),2.73 (1.42),2.57 (1.42),2.83 (1.40),3.20 (1.40),2.94 (1.26),2.61 (1.34),2.78 (1.29),3.22 (1.20),2.94 (1.23)
24,forest,3.63 (1.31),3.75 (1.16),5.04 (2.92),3.55 (1.12),3.50 (1.24),3.64 (1.08),5.23 (2.87),3.51 (1.04),3.62 (1.46),3.76 (1.25),5.33 (3.28),3.65 (1.24),3.51 (1.32),3.64 (1.20),4.96 (1.60),3.62 (1.18)
28,parkinsons,104.19 (6.14),94.20 (5.62),55.67 (5.85),35.52 (6.05),35.56 (6.53),33.91 (6.89),32.48 (6.71),29.92 (6.92),22.54 (10.12),21.03 (8.62),22.22 (8.17),20.86 (8.25),1.71 (0.98),1.80 (0.97),1.92 (1.27),1.61 (1.14)
