,Dataset,LR+LR,LR+MLP,LR+MLP2,LR+RF,MLP+LR,MLP+MLP,MLP+MLP2,MLP+RF,MLP2+LR,MLP2+MLP,MLP2+MLP2,MLP2+RF,RF+LR,RF+MLP,RF+MLP2,RF+RF
0,concrete,95.78 (7.08),86.40 (4.02),89.45 (6.78),67.30 (6.25),96.74 (5.91),88.22 (3.62),92.27 (4.18),72.93 (4.78),102.58 (10.64),94.16 (7.62),97.07 (7.54),81.90 (7.67),115.89 (10.46),109.61 (8.27),110.82 (9.91),97.53 (6.96)
4,wine,104.24 (9.92),111.55 (9.01),114.80 (15.99),95.60 (13.62),103.47 (7.17),105.10 (5.32),113.23 (10.36),97.79 (5.06),120.55 (12.19),130.13 (15.30),136.26 (15.62),113.34 (11.48),120.72 (20.30),126.20 (22.42),133.14 (21.13),108.12 (13.62)
8,airfoil,101.57 (10.58),98.49 (12.29),83.19 (8.86),58.65 (7.73),104.09 (10.07),97.44 (10.64),88.80 (9.78),66.81 (6.77),109.14 (8.90),102.53 (7.23),95.54 (7.91),83.56 (6.22),118.12 (23.56),113.11 (21.34),107.22 (16.58),94.31 (14.67)
12,energy,97.54 (14.42),94.35 (9.17),51.88 (7.24),28.89 (6.14),91.96 (16.12),88.37 (10.99),49.83 (7.56),29.54 (4.86),85.23 (11.79),82.00 (14.31),70.94 (12.25),50.03 (6.59),116.54 (19.57),113.18 (20.55),134.06 (26.92),100.17 (18.57)
16,housing,136.16 (47.57),109.05 (20.49),112.79 (38.90),100.82 (21.58),168.18 (63.61),123.50 (28.56),153.59 (87.64),124.38 (32.21),151.18 (52.38),121.63 (24.37),155.54 (64.57),115.41 (24.06),165.48 (74.49),134.10 (41.30),154.69 (57.43),136.20 (56.17)
20,solar,135.53 (21.00),154.67 (31.26),162.32 (31.94),142.83 (34.90),136.89 (20.99),153.43 (32.82),161.85 (31.41),142.13 (34.59),138.66 (23.40),151.31 (31.64),160.08 (36.87),142.34 (32.47),134.78 (18.59),144.43 (22.74),158.45 (33.78),137.96 (28.07)
24,forest,97.72 (17.56),107.28 (19.04),135.32 (33.29),107.23 (13.96),96.71 (11.68),102.63 (11.67),138.61 (33.28),104.58 (10.14),96.73 (15.59),104.67 (21.85),145.46 (43.74),105.09 (18.04),102.83 (14.86),108.73 (17.56),146.48 (43.39),109.22 (19.95)
28,parkinsons,88.16 (3.87),77.20 (3.27),42.83 (2.17),24.54 (1.54),107.85 (6.32),97.89 (4.74),93.97 (4.05),81.33 (3.94),134.15 (21.47),120.10 (11.86),132.35 (20.11),108.42 (8.78),166.31 (32.87),218.51 (67.66),215.41 (54.33),125.88 (24.22)
